AC No.,AC Name,Population
1,NARELA,317613
2,BURARI,365094
3,TIMARPUR,226714
4,ADARSH NAGAR,188217
5,BADLI,290313
6,RITHALA,318432
7,BAWANA (SC),382982
8,MUNDKA,313046
9,KIRARI,345718
10,SULTANPUR MAJRA ,215382
11,NANGLOI,261081
12,MANGOL PURI,231907
13,ROHINI,229041
14,SHALIMAR BAGH,214230
15,SHAKURBASTI,197655
16,TRINAGAR,207098
17,WAZIRPUR,208603
18,MODEL TOWN,181770
19,SADAR BAZAR,216390
20,CHANDNI CHOWK,151602
21,MATIA MAHAL,171340
22,BALLIMARAN,191208
23,KAROL BAGH,198779
24,PATEL NAGAR,223237
25,MOTI NAGAR,205239
26,MADIPUR (SC),220157
27,RAJOURI GARDEN,206182
28,HARI NAGAR,190950
29,TILAK NAGAR,198046
30,JANAKPURI,220610
31,VIKASPURI,396913
32,UTTAM NAGAR,275542
33,DWARKA,212346
34,MATIALA,421095
35,NAJAFGARH,279649
36,BIJWASAN,298236
37,PALAM,250230
38,DELHI CANTT,110351
39,RAJINDER NAGAR,202067
40,NEW DELHI,142004
41,JANGPURA,150049
42,KASTURBA NAGAR,171951
43,MALVIYA NAGAR,157689
44,R K PURAM,174850
45,MEHRAULI,200191
46,CHHATARPUR,253111
47,DEOLI (SC),288573
48,AMBEDKAR NAGAR (SC),199657
49,SANGAM VIHAR,217711
50,GREATER KAILASH,185553
51,KALKAJI,190766
52,TUGHLAKABAD,198828
53,BADARPUR,336494
54,OKHLA,318680
55,TRILOKPURI,241540
56,KONDLI,233716
57,PATPARGANJ,221317
58,LAXMI NAGAR,241422
59,VISHWAS NAGAR,222188
60,KRISHNA NAGAR,254199
61,GANDHI NAGAR,197256
62,SHAHDARA,215849
63,SEEMA PURI,235350
64,ROHTAS NAGAR,240981
65,SEELAMPUR,235726
67,BABARPUR,240313
68,GOKALPUR,293805
69,MUSTAFABAD,311501
70,KARAWAL NAGAR,321304
